transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1904.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:54:01.055909,job,acquired,zgqi,debit,gpu_hrs,1.0,99999997.491,yes,my2024,
1904.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:54:01.055909,job,acquired,zgqi,debit,cpu_hrs,4.0,99978782.5629998,yes,my2024,
1904.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:54:59.129579,job,released,zgqi,credit,cpu_hrs,3.96,99978786.5229998,yes,my2024,
1904.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:54:59.129579,job,released,zgqi,credit,gpu_hrs,0.99,99999998.481,yes,my2024,
1905.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,16:03:46.884411,job,acquired,zgqi,debit,cpu_hrs,4.0,99978782.5229998,yes,my2024,
1905.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,16:03:46.884411,job,acquired,zgqi,debit,gpu_hrs,1.0,99999997.481,yes,my2024,
1905.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,16:04:59.210062,job,released,zgqi,credit,cpu_hrs,3.96,99978786.4829998,yes,my2024,
1905.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,16:04:59.210062,job,released,zgqi,credit,gpu_hrs,0.99,99999998.471,yes,my2024,
1908.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:06:02.073740,job,acquired,zgqi,debit,cpu_hrs,128.0,99978658.4829998,yes,my2024,
1908.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:06:02.073740,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1909.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:40:42.649389,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1909.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:40:42.649389,job,acquired,zgqi,debit,cpu_hrs,1536.0,99977122.4829998,yes,my2024,
1909.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:40:59.353697,job,released,zgqi,credit,cpu_hrs,1535.929,99978658.4119998,yes,my2024,
1910.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:42:43.312694,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1910.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:42:43.312694,job,acquired,zgqi,debit,cpu_hrs,1536.0,99977122.4119998,yes,my2024,
1911.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:44:27.492745,job,acquired,zgqi,debit,cpu_hrs,1536.0,99975586.4119998,yes,my2024,
1911.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,16:44:27.492745,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1908.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:06:58.763859,job,acquired,zgqi,debit,cpu_hrs,1.671,99975584.7409998,yes,my2024,overrun:
1912.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:11:21.790911,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1912.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:11:21.790911,job,acquired,zgqi,debit,cpu_hrs,128.0,99975456.7409998,yes,my2024,
1912.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:12:58.557934,job,released,zgqi,credit,cpu_hrs,127.893,99975584.6339998,yes,my2024,
1913.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:16:13.410720,job,acquired,zgqi,debit,cpu_hrs,1536.0,99974048.6339998,yes,my2024,
1913.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,17:16:13.410720,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1914.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:11.487564,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1914.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:11.487564,job,acquired,mbithi,debit,cpu_hrs,5.0,99974043.6339998,yes,my2024,
1915.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:15.828431,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1915.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:15.828431,job,acquired,mbithi,debit,cpu_hrs,5.0,99974038.6339998,yes,my2024,
1916.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:20.453252,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1916.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:20.453252,job,acquired,mbithi,debit,cpu_hrs,5.0,99974033.6339998,yes,my2024,
1917.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:24.975120,job,acquired,mbithi,debit,cpu_hrs,5.0,99974028.6339998,yes,my2024,
1917.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:24.975120,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1918.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:29.525679,job,acquired,mbithi,debit,cpu_hrs,5.0,99974023.6339998,yes,my2024,
1918.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:29.525679,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1919.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:34.092777,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1919.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:34.092777,job,acquired,mbithi,debit,cpu_hrs,5.0,99974018.6339998,yes,my2024,
1920.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:38.593210,job,acquired,mbithi,debit,cpu_hrs,5.0,99974013.6339998,yes,my2024,
1920.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:38.593210,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1921.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:43.154310,job,acquired,mbithi,debit,cpu_hrs,5.0,99974008.6339998,yes,my2024,
1921.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:43.154310,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1922.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:47.808323,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1922.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:47.808323,job,acquired,mbithi,debit,cpu_hrs,5.0,99974003.6339998,yes,my2024,
1923.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:52.640775,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1923.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:52.640775,job,acquired,mbithi,debit,cpu_hrs,5.0,99973998.6339998,yes,my2024,
1924.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:57.083054,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1924.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:57.083054,job,acquired,mbithi,debit,cpu_hrs,5.0,99973993.6339998,yes,my2024,
1921.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.595408,job,released,mbithi,credit,cpu_hrs,5.0,99973998.6339998,yes,my2024,
1923.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.606722,job,released,mbithi,credit,cpu_hrs,5.0,99974003.6339998,yes,my2024,
1919.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.617907,job,released,mbithi,credit,cpu_hrs,5.0,99974008.6339998,yes,my2024,
1922.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.629366,job,released,mbithi,credit,cpu_hrs,5.0,99974013.6339998,yes,my2024,
1914.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.640086,job,released,mbithi,credit,cpu_hrs,5.0,99974018.6339998,yes,my2024,
1918.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.650658,job,released,mbithi,credit,cpu_hrs,5.0,99974023.6339998,yes,my2024,
1924.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.661083,job,released,mbithi,credit,cpu_hrs,5.0,99974028.6339998,yes,my2024,
1915.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.671810,job,released,mbithi,credit,cpu_hrs,5.0,99974033.6339998,yes,my2024,
1917.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.682390,job,released,mbithi,credit,cpu_hrs,5.0,99974038.6339998,yes,my2024,
1916.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.693682,job,released,mbithi,credit,cpu_hrs,5.0,99974043.6339998,yes,my2024,
1920.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:48:58.704220,job,released,mbithi,credit,cpu_hrs,5.0,99974048.6339998,yes,my2024,
1925.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:01.682966,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1925.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:01.682966,job,acquired,mbithi,debit,cpu_hrs,5.0,99974043.6339998,yes,my2024,
1926.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:06.151219,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1926.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:06.151219,job,acquired,mbithi,debit,cpu_hrs,5.0,99974038.6339998,yes,my2024,
1927.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:10.889916,job,acquired,mbithi,debit,gpu_hrs,0.0,99999998.471,yes,my2024,
1927.beehoon2-pbs.mbi.nus.edu.sg,2020-10-08,23:49:10.889916,job,acquired,mbithi,debit,cpu_hrs,5.0,99974033.6339998,yes,my2024,
