transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1104[3].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.831906,job,acquired,zgqi,debit,cpu_hrs,24.0,99984443.0,yes,my2024,
1104[4].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.856062,job,acquired,zgqi,debit,cpu_hrs,24.0,99984419.0,yes,my2024,
1104[4].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.856062,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[5].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.881098,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[5].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.881098,job,acquired,zgqi,debit,cpu_hrs,24.0,99984395.0,yes,my2024,
1104[6].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.905097,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[6].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.905097,job,acquired,zgqi,debit,cpu_hrs,24.0,99984371.0,yes,my2024,
1104[7].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.927124,job,acquired,zgqi,debit,cpu_hrs,24.0,99984347.0,yes,my2024,
1104[7].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.927124,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[8].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.948817,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[8].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.948817,job,acquired,zgqi,debit,cpu_hrs,24.0,99984323.0,yes,my2024,
1104[9].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.971826,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[9].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.971826,job,acquired,zgqi,debit,cpu_hrs,24.0,99984299.0,yes,my2024,
1104[10].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.992273,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[10].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:14.992273,job,acquired,zgqi,debit,cpu_hrs,24.0,99984275.0,yes,my2024,
1104[11].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.013485,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[11].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.013485,job,acquired,zgqi,debit,cpu_hrs,24.0,99984251.0,yes,my2024,
1104[12].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.039636,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[12].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.039636,job,acquired,zgqi,debit,cpu_hrs,24.0,99984227.0,yes,my2024,
1104[13].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.062577,job,acquired,zgqi,debit,cpu_hrs,24.0,99984203.0,yes,my2024,
1104[13].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.062577,job,acquired,zgqi,debit,gpu_hrs,0.0,99999874.0,yes,my2024,
1104[14].beehoon2-pbs.mbi.nus.edu.sg,2020-09-24,08:40:15.084253,job,acquired,zgqi,debit,cpu_hrs,24.0,99984179.0,yes,my2024,
